{ 08 80 48 3D 59 33 00 00 00 00 25 0A }, Delta:1.849ms, Position:[15688,13145], Pressure:0, PenButtons:[False False False], Tilt:[37,10], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 6B 3D 8C 33 00 00 00 00 25 0A }, Delta:3.986ms, Position:[15723,13196], Pressure:0, PenButtons:[False False False], Tilt:[37,10], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 8C 3D C2 33 00 00 00 00 25 0B }, Delta:0.110ms, Position:[15756,13250], Pressure:0, PenButtons:[False False False], Tilt:[37,11], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 AB 3D FA 33 00 00 00 00 25 0B }, Delta:5.138ms, Position:[15787,13306], Pressure:0, PenButtons:[False False False], Tilt:[37,11], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 C9 3D 35 34 00 00 00 00 25 0B }, Delta:0.157ms, Position:[15817,13365], Pressure:0, PenButtons:[False False False], Tilt:[37,11], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 E6 3D 72 34 00 00 00 00 25 0B }, Delta:6.048ms, Position:[15846,13426], Pressure:0, PenButtons:[False False False], Tilt:[37,11], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 03 3E B2 34 00 00 00 00 25 0D }, Delta:0.163ms, Position:[15875,13490], Pressure:0, PenButtons:[False False False], Tilt:[37,13], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 20 3E F5 34 00 00 00 00 25 0D }, Delta:1.879ms, Position:[15904,13557], Pressure:0, PenButtons:[False False False], Tilt:[37,13], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 3D 3E 3B 35 00 00 00 00 26 0D }, Delta:4.712ms, Position:[15933,13627], Pressure:0, PenButtons:[False False False], Tilt:[38,13], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 5B 3E 84 35 00 00 00 00 26 0D }, Delta:0.102ms, Position:[15963,13700], Pressure:0, PenButtons:[False False False], Tilt:[38,13], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 7A 3E CF 35 00 00 00 00 26 0F }, Delta:0.951ms, Position:[15994,13775], Pressure:0, PenButtons:[False False False], Tilt:[38,15], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 9B 3E 1B 36 00 00 00 00 26 0F }, Delta:5.331ms, Position:[16027,13851], Pressure:0, PenButtons:[False False False], Tilt:[38,15], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 80 9B 3E 1B 36 00 00 00 00 26 0F }, Delta:0.110ms, Position:[16027,13851], Pressure:0, PenButtons:[False False False], Tilt:[38,15], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
{ 08 00 9B 3E 1B 36 00 00 00 00 26 0F }, Delta:5.812ms, Pen is out of Range, ReportType:OpenTabletDriver.Plugin.Tablet.OutOfRangeReport
{ 08 80 7B 47 9D 40 00 00 00 00 26 10 }, Delta:67.524ms, Position:[18299,16541], Pressure:0, PenButtons:[False False False], Tilt:[38,16], ReportType:OpenTabletDriver.Plugin.Tablet.TiltTabletReport
