0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27889664 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27889664 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27889664 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27889664 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27890688 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27890688 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27890688 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,847 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27890688 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27892736 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27892736 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27892736 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27892736 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27894784 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27894784 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27894784 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,848 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27894784 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,849 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27895808 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,849 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27895808 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,849 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27895808 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,849 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27895808 - Failed to decode the audio samples.
0x7f56a77ff000 | IO.Audio             | ERROR | 2026-06-19 21:17:40,849 | Failed to decode clip </home/avery/Downloads/2026-06-19 08-16-09.mp4>, track: 0, position: 27897856 - Failed to decode the audio samples.
